Config,Windows,Avg Sharpe,Avg Return,Total Return,Normal Sharpe,Crisis Sharpe,Win Rate
Baseline (2yr/6mo),18,0.17589318688297625,0.36784101050793244,5.086359233227977,-0.2586300338843619,1.6967244595686597,50.0
Fast (1yr/3mo),40,-0.2409985289049561,-0.10247276764678374,-4.045007170215276,-0.2072108565850292,-0.342361545864737,30.0
Medium (1.5yr/6mo),19,-0.3772028483120262,-0.9605011566485843,-18.957471371087664,-0.4268675634676583,-0.19096016647840566,36.84210526315789
Stable (3yr/12mo),8,-0.011192596704908311,-0.05529914504587008,-0.9389044122642964,-0.2141628891602487,0.5977182806611128,50.0
